IP地址,采集时间,内存使用率
10.185.4.16,2017/1/8 0:50,70.25
10.185.4.16,2017/1/8 1:20,72.82
10.185.4.16,2017/1/8 1:50,70.97
10.185.4.16,2017/1/8 2:20,71.27
10.185.4.16,2017/1/8 2:35,70.46
10.185.4.16,2017/1/8 3:05,70.93
10.185.4.16,2017/1/8 3:35,70.55
10.185.4.16,2017/1/8 4:05,70.46
10.185.4.16,2017/1/8 4:35,70.49
10.185.4.16,2017/1/8 5:05,70.4
10.185.4.16,2017/1/8 5:35,70.39
10.185.4.16,2017/1/8 6:05,70.38
10.185.4.16,2017/1/8 6:35,70.54
10.185.4.16,2017/1/8 7:05,70.3
10.185.4.16,2017/1/8 7:35,70.24
10.185.4.16,2017/1/8 8:05,70.38
10.185.4.16,2017/1/8 8:35,70.31
10.185.4.16,2017/1/8 9:05,70.34
10.185.4.16,2017/1/8 9:35,70.33
10.185.4.16,2017/1/8 10:05,70.3
10.185.4.16,2017/1/8 10:35,70.27
10.185.4.16,2017/1/8 11:05,70.32
10.185.4.16,2017/1/8 11:05,70.3
10.185.4.16,2017/1/8 11:50,70.28
10.185.4.16,2017/1/8 11:50,70.3
10.185.4.16,2017/1/8 12:20,70.26
10.185.4.16,2017/1/8 13:05,70.3
10.185.4.16,2017/1/8 13:35,70.26
10.185.4.16,2017/1/8 14:05,70.29
10.185.4.16,2017/1/8 14:20,70.3
10.185.4.16,2017/1/8 14:50,70.42
10.185.4.16,2017/1/8 15:05,70.47
10.185.4.16,2017/1/8 15:35,70.37
10.185.4.16,2017/1/8 16:05,70.32
10.185.4.16,2017/1/8 16:35,70.29
10.185.4.16,2017/1/8 17:05,70.31
10.185.4.16,2017/1/8 17:20,70.36
10.185.4.16,2017/1/8 17:35,70.3
10.185.4.16,2017/1/8 18:05,70.63
10.185.4.16,2017/1/8 18:35,70.2
10.185.4.16,2017/1/8 19:05,70.16
10.185.4.16,2017/1/8 19:35,70.23
10.185.4.16,2017/1/8 20:05,70.09
10.185.4.16,2017/1/8 20:35,70.4
10.185.4.16,2017/1/8 21:05,70.48
10.185.4.16,2017/1/8 21:35,70.59
10.185.4.16,2017/1/8 22:05,70.54
10.185.4.16,2017/1/8 22:20,70.53
10.185.4.16,2017/1/8 22:50,70.53
